me,you
"ㅇㅋㅇㅋ
교수님이 방금 들어오셔서 이제 시작했다",ㅇㅋㅇㅋ 늦으셨네 ㅋㅋㅋ
"어어 ㅋㅋㅋㅋㅋㅋ
이제 끝났다",오키
과도 왔어,잠깐만
어디 있어?,"나 흡연실
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,어디
"1층
입구쪽
수업 끝났어","니 좀 걸릴듯
나"
ㅇㅋㅇㅋ,15분?
정보관에서 기다릴게,갈게
"오케이
근데 딱히 뭐가 없긴 하다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","아하
ㅋㅋㅋㅋㅋㅋㅋㅋ"
"다음주에 시간 언제 돼?
오지민이랑 보는거땜에",화요일 어떰
저녁?,응
"오키오키
물어볼게",땡큐
"화요일 저녁이면 7시이후만 된다는데
괜찮아? 아님 다른날로 할까?","음..
괜찮긴 한데
목요일도 함 물어봐줄수있니
ㅋㅋㅋㅋㅋㅋㅋ
아니 그냥
단톡방을 하나"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
단톡방 만들까?","음 그냥
너 목요일도 거ㅐㄴ찮아?"
어어 난 상관없음,"목요일 6시 괜찮다하면
그때로 하고"
근데 시간은 아마 다 비슷할듯,"안되면 화요일
아 그래?"
"확실하진 않아
한번 물어볼게",어 땡큐
"목요일 6시 안된대
그냥 화요일 ㄱㄱ?",ㄱㄱ
"오케이
화요일 7시","굳굳
3021604268406 국민
03610204368406 국민"
"10,000원을 보냈어요. 송금 받기 전까지 보낸 분은 내역 상세화면에서 취소할 수 있어요.","10,000원을 받았어요. *(안내) 받은 돈을 채워두면 최대 연 5% 이자 혜택을 받을 수 있어요.
너 지도교수 누군지 알아?"
우리 없지 않나,"읎나?
찾아도 안나오나"
그냥 아무 이름이나 있었던거 같은데,"ㅋㅋㅋㅋㅋㅋ
알았어"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
지도교수 칸에 인호 라는분으로 써져있긴함","나랑 다르네?
구건재 교수님 알아?"
어어,"알아??
수업들은적 있어?"
"어어
수업은 한번 갔어
드랍해서","무슨 수업이였어?
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
컴구였을걸,알았어 땡큐
"ㅋㅋㅋㅋㅋㅋㅋ 오케이
인공지능 공부 좀 했어??","뭐 .. ㅋㅋㅋㅋ
그냐유그럭저럭"
"ㅋㅋㅋㅋㅋㅋㅋ
뭘 공부해야될지 모르겠다 ㅋㅋㅋㅋ
그냥 공식이나 외워야지…","진짜 외워야 하나
개빡쎈데"
진짜 조금 공부하니까 더 헷갈린다,다 비슷비슷해가지고 ㅋㅋㅋㅋㅋ
그니까,"하... 
하기싫네"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
내일 시험 몇개 봐?","2개
데베 인지
혹시 데베 중간에 ODBC JDBC 나왔는지 기억나니
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
기억해 빨리"
"음
난 안 나온거 같긴 한도
데","오키
대충 봐야지
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
근데 진짜 뜬금없이 
뜻 같은거 쓰는 문제들이 있긴 했음",음 그러쿤
T/F 같은데선 나올수도,오 땡큐
ㅋㅋㅋㅋㅋㅋㅋㅋ 오키,잘챴니
"잘 모르겠다 ㅋㅋㅋㅋㅋㅋㅋ
2번은 그냥 틀린듯","뭔가 머리로는 잘친거 같은데
마음으로는
다 틀린거 같에
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋㅋ
아 그 3번",아 reguladization 개같은
중복 없이 하는거 맞나,"그게 맞는거 같은데
거기 ucs에
중복이면
더 낮은거 한다고
코드 있는고 같음"
오 다행이다,"근데
여러방법 다해봤는데
그 방법 박에 없지 않았니
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
어어 딱 7번에 끝나는게 없었다",그니까
7번은 그냥 비어있다고 쓰면 되겠지,뭐 empty라고 힌트 주셧잖아
그럼 다행이다,"날 신뢰하진 말고
깨달았다"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,수강신청은 무조건 학점만 잘나오는거
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ
그게 맞다","남는건 학점밖에 없다
이모티콘"
그래도 이제 거의 끝났잖아,"ㅠㅠ
인공지능 과제3
어차피 점수 없으니깐
그냥 복붙햐도 되겠지..?"
어어 상관없을듯,땡큐
와 인공지능 성적 나왔네,나도 봤어
"방금 봤다
잘 봤어?","근데
부분점수 많이 주시나"
그니까,내가 푼거보다
생각보다 후하게 주신 느낌,점수 높은거 같은디
오 나도,근데 뭐 남들도 다 이렇게 줬겠지..
ㅋㅋㅋㅋㅋㅋㅋㅋ 그러게,"그 과제점수는
너도 잘받았지"
"생각보다 잘 주셨더라고
3시에 시험 있어?","아니
잉?"
인공지능 같이 공부할래?,오 ㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"좋아
나 지금 과도야
너 어디"
"그 it교양관
시험 이제 끝나서
과도로 갈게","과도4층으로 와
톡하셈"
"오케이
4층 왔어","인지 공부했니
5번 겁나 거창한데
왜 속에는 아무것도 없는 느낌이지
뭐지
4번이 더 어렵네"
"그니까
좀 봤는데 시험에 어떻게 나올지 모르겠어",셤 끝나고 같이 밥먹을래
어어 좋지,ㄱㄱ
오케이,"Hey 셤 칠때
나 넘 늦게끝나면
걍 집가"
ㅇㅋㅇㅋ,나 끝
"ㅇㅋㅇㅋ 
방학에 뭐 하는거 있어?","없습니다..
같이 해야지"
"그래야지
언제 만나서 뭐할지 찾을까?","오케이
나 금 저녁부터 언제든지 시간더ㅣㅁ
만나기전까지
생각하고
보자"
"ㅇㅋㅇㅋ 그러자
나도 시간 거의 될듯","내일 3시에 볼래
석계역?"
어어 난 괜찮아,"오케이
나 도착해서
석계역 할리스 커피로
갑니다잉"
오케이,"헤이
노션에 이름 따로 관리 한느거 별 의미 없을거 같에서 그냥 이름 지웠음
내가 만든 페이지에
눈치껏
추가 바람
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오케이
나도 프로젝트 관리 페이지 만들었어",봤으
조사한 내용 거기에 바로 써도 될듯,"내가 한거 버ㅏ보ㅓ
너가 생각한거랑 비슷한지
다시 막 바꿔도 괜차나"
"아 ㅇㅋㅇㅋ
괜찮은듯",굳
사진,아 저런게 있네
여기에 써도 ㄱㅊ,"너가 옮겨줘바
뭔지 모르겠어"
"오케이
일단 둘 다 해보고 다음에 편한걸 고르자",ㅇㅋ
